Tiêu đề,Giá,Diện tích,Địa chỉ,Mô tả,Link
📢 NGUYỄN CHÍ THANH - ĐỐNG ĐA. DIỆN TÍCH 40M. 4 TẦNG. MẶT TIỀN 3.6M. GIÁ HƠN 15 TỶ CÒN TL.,"Giá:15,9 tỷ",Diện tích:40m²,"Đường Nguyễn Chí Thanh,Phường Láng,Hà Nội","💥 PHÂN LÔ VIP - NGUYỄN CHÍ THANH - ĐỐNG ĐA. PHÂN LÔ - VỈA HÈ OTO TRÁNH - KINH DOANH SẦM UẤT.
👉 Diên tích 40m. 4 tầng. Mặt tiền 3.6m

▪️ Nhà đẹp, khu phân lô Vip, vỉa hè oto tránh, ngõ thông Huỳnh Thúc Kháng, gần Vin......<< Xem chi tiết >>",https://alonhadat.com.vn/-nguyen-chi-thanh-dong-da-dien-tich-40m-4-tang-mat-tien-3-6m-gia-hon-15-ty-con-tl--17423109.html
💥Nhà đẹp Khuất Duy Tiến - Thanh Xuân. Dt 55m2. 5 tầng. Mặt tiền 4.2m. Giá hơn 17 tỷ,"Giá:17,5 tỷ",Diện tích:55m²,"Đường Khuất Duy Tiến,Phường Thanh Xuân,Hà Nội","💥 Nhà đẹp Khuất Duy Tiến - Thanh Xuân. Phân lô - ngõ oto tránh và vào nhà - kinh doanh vp đỉnh. Giá chính chủ

👉Dt 55m2. 5 tầng. Mặt tiền 4.2m. Giá hơn 17 tỷ (còn TL)

🛑 Nhà phân lô, ngõ oto tránh, kinh doanh hoặc......<< Xem chi tiết >>",https://alonhadat.com.vn/-nha-dep-khuat-duy-tien-thanh-xuan-dt-55m2-5-tang-mat-tien-4-2m-gia-hon-17-ty-17423783.html
"Bán khách sạn 9 tầng phố Liễu Giai, 100m2, dòng tiền 200 triệu/tháng, 68 tỷ",Giá:68 tỷ,Diện tích:100m²,"Phố Liễu Giai,Phường Ngọc Hà,Hà Nội","Bán toà khách sạn 9 tầng phố Liễu Giai, 100m2, dòng tiền 200 triệu, nhỉnh 60 tỷ
Bán toà khách sạn- căn hộ 9 tầng khu phân lô VIP Liễu Giai
+ Diện tích 100m2, mặt tiền 6m. Nhà thoáng trước thoáng sau, sau nhà có ngõ đi ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-khach-san-9-tang-pho-lieu-giai-100m2-dong-tien-200-trieu-thang-nhinh-60-ty-17359157.html
"Bán Đất Lý Sơn, Thượng Thanh: 50m2 MT 4m 2 mặt ngõ Ô TÔ trước sau gần phố chỉ 6,9tỷ còn TL","Giá:6,9 tỷ",Diện tích:50m²,"Đường Lý Sơn,Phường Việt Hưng,Hà Nội","Anh Vân nhờ bán thửa đất ĐẸP khu phân lô quân đội đường Lý Sơn, Thượng Thanh Long BIên gần cầu Đông Trù.
+ Thửa đất phân lô vuông đẹp 2 mặt ngõ trước sau, cả 2 mặt ngõ đều 4m. Đất chỉ cách mặt phố Lý Sơn 40m di chuyển c......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-dat-ly-son-thuong-thanh-48m2-mt-4m-2-mat-ngo-o-to-truoc-sau-gan-pho-chi-7-ty-15230503.html
"Hoàng Như Tiếp 44m 6Tầng Dân xây đẹp, ngõ rộng hơn 8 tỷ","Giá:8,9 tỷ",Diện tích:44m²,"Phố Hoàng Minh Đạo,Phường Bồ Đề,Hà Nội","Cần bán gấp căn nhà 6 tầng phố Hoàng Như Tiếp -Bồ Đề
+ nhà nằm ở vùng lõi, trung tâm tiện ích phường Bồ Đề: chợ, trường, bệnh viện Tâm Anh, công viên .. không thiếu thứ gì.
+ Ngõ vào nhà nông rộng, ô tô đỗ cổng vài bướ......<< Xem chi tiết >>",https://alonhadat.com.vn/hoang-nhu-tiep-44m-6tang-dan-xay-dep-ngo-rong-hon-8-ty-17389192.html
"Chung cư Việt Hưng 52m Thang Bộ 2PN chỉ 2,1 tỷ","Giá:2,1 tỷ",Diện tích:52m²,"Đường Việt Hưng,Phường Việt Hưng,Hà Nội","Chủ nhà cần bán nhanh căn hộ 2PN toà CT21 khu đô thị việt hưng
+ Căn hộ thiết kế 2PN nội thất cơ bản, toà thang bộ, sổ sẵn sang tên
+ Phân khúc hiếm gặp thời điểm này
Anh/chị quạn tâm liên hệ sớm em Tuấn chuyên bds Lo......<< Xem chi tiết >>",https://alonhadat.com.vn/chung-cu-viet-hung-52m-thang-bo-2pn-chi-2-1-ty-17430463.html
NHỈNH 10 TỶ SỞ HỮU 40m  MẶT NGÕ -GẦN Ô TÔ-DÂN XÂY -FULL NỘI THẤT- NHÀ 2 MẶT NGÕ CÓ THỂ  MỞ,"Giá:10,2 tỷ",Diện tích:40m²,"Đường Âu Cơ,Phường Tây Hồ,Hà Nội","NHỈNH 10 TỶ SỞ HỮU 40m  MẶT NGÕ -GẦN Ô TÔ-DÂN XÂY -FULL NỘI THẤT- NHÀ 2 MẶT NGÕ CÓ THỂ  MỞ MẶT SAU- ÂU CƠ- TÂY HỒ 

🍫Sổ đỏ vuông đẹp ssgd

LH Mrs TRIỆU#BĐSNhàThật # để xem nhà 
☎️zalo
✳️Ngõ thông, gần ô tô, khu vự......<< Xem chi tiết >>",https://alonhadat.com.vn/nhinh-10-ty-so-huu-40m-mat-ngo-gan-o-to-dan-xay-full-noi-that-nha-2-mat-ngo-co-the-mo-17427727.html
"CỰC HIẾM-CĂN HỘ TẬP THỂ- FULL NỘI THẤT-ĐẦU TƯ GIỮ TIỀN- 90M CHỈ 3,999Tỷ -TÂY SƠN-kHÔNG CÓ","Giá:3,999 tỷ",Diện tích:90m²,"Phố Tây Sơn,Phường Ô Chợ Dừa,Hà Nội","CỰC HIẾM-CĂN HỘ TẬP THỂ- FULL NỘI THẤT-ĐẦU TƯ GIỮ TIỀN- 90M CHỈ 3,999Tỷ -TÂY SƠN-kHÔNG CÓ CĂN THỨ HAI 

🍫sổ đỏ cc ssgd 

LH Mrs TRIỆU#BĐSNhàThật # để xem nhà 
☎️zalo 

✳️khu vực hiếm nhà bán ko có căn thứ 2 , một......<< Xem chi tiết >>",https://alonhadat.com.vn/cuc-hiem-can-ho-tap-the-full-noi-that-dau-tu-giu-tien-90m-chi-3-999ty-tay-son-khong-co-17428031.html
VIÊN NGỌC TẠI ĐƯỜNG HỒ TÂY- ĐẦU TƯ DÒNG TIỀN - THANG MÁY -MẶT TIỀN KHỦNG-THIẾT KẾ ĐẲNG CẤP,Giá:Thỏa thuận,Diện tích:40m²,"Đường Hồ Tây,Phường Tây Hồ,Hà Nội","VIÊN NGỌC TẠI ĐƯỜNG HỒ TÂY- ĐẦU TƯ DÒNG TIỀN - THANG MÁY -MẶT TIỀN KHỦNG-THIẾT KẾ ĐẲNG CẤP SANG TRỌNG. 
DT 40m- MT 5m
 Thang Máy 
Chỉ 12,95 Tỷ ( có thương lượng)
🍫sổ đỏ chính chủ ssgd
Gọi ngay Mrs TRIỆU#BĐSNhàThật ......<< Xem chi tiết >>",https://alonhadat.com.vn/vien-ngoc-tai-duong-ho-tay-dau-tu-dong-tien-thang-may-mat-tien-khung-thiet-ke-dang-cap-17427072.html
Cửu TT Việt Trâu Quỳ-220m MT 9m Tòa 6 Tầng cho Thuê Kín 54 Phòng +2p Kinh Doanh,"Giá:28,8 tỷ",Diện tích:220m²,"Đường Cửu Việt,Xã Gia Lâm,Hà Nội","Cần bán gấp căn nhà 6 Tầng tại Trung Tâm học viện nông nghiệp Trâu Quỳ 
-vị trí rất đẹp thông cửu Việt đi khắp ngả với hàng vạn sinh viên thuê trọ 

Diện tích sổ 220m
MT 9m
Đường 4m ô tô thông

+++
Vị trí căn nhà......<< Xem chi tiết >>",https://alonhadat.com.vn/tt-cuu-viet-trau-quy-220m-mt-9m-toa-6-tang-cho-thue-kin-54-phong-2p-kinh-doanh-17328791.html
"Giảm giá bán nhanh nhà phố Bạch Mai, Đại Cồ Việt. Diện tích 39m2, 4 tầng. Giá 6,7 tỷ.","Giá:6,7 tỷ",Diện tích:39m²,"Phố Bạch Mai,Phường Bạch Mai,Hà Nội","- Gia đình cần tiền giảm giá bán nhanh căn nhà phố Bạch Mai - Hai Bà Trưng. Diện tích 39m2, lô góc 2 thoáng, từ tầng 2 view hồ gió mát quanh năm, nhà thực tế không cần dùng đến điều hoà.

- Nhà thiết kế:
 + Tầng 1 phò......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-ngo-105-pho-bach-mai-view-ho-2-phut-len-pho-hue--16390657.html
Chính chủ Giảm  500tr bán LK Đô Nghĩa 5 tầng thang máy kinh doanh,"Giá:15,6 tỷ",Diện tích:75m²,"Đường Tố Hữu,Phường Dương Nội,Hà Nội","Chính chủ bán LIỀN KỀ KĐT ĐÔ NGHĨA - Hà Đông! Hàng xóm KĐT Dương Nội 
Diện tích: 75m2 x 5 tầng x Mt5m
💰G.iá đầu tư hơn 15 tỷ - Bệnh viện nhi Hà Nội , vành đai 4 khu vực không thể bỏ lỡ. 
☎️ Em Đức để biết thêm chi ti......<< Xem chi tiết >>",https://alonhadat.com.vn/giam-chao-1-2-ty-ban-lien-ke-do-nghia-5-tang-thang-may-mt-5-15411707.html
"BÁN NHÀ PHỐ THẠCH BÀN LONG BIÊN, GẦN AEON, Ô TÔ ĐỖ CỬA, DT 52M² CHỈ 7.7 TỶ","Giá:7,7 tỷ",Diện tích:52m²,"Phố Ngọc Trì,Phường Long Biên,Hà Nội","Chính chủ cần bán gấp nhà phố Thạch Bàn, Long Biên. Vị trí trung tâm, gần AEON Mall Long Biên, xung quanh nhiều trường học, khu dân trí cao, an ninh tốt.

Thông số: Diện tích 52m², mặt tiền 5.5m rộng thoáng.

Thiết k......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-pho-thach-ban-long-bien-gan-aeon-o-to-do-cua-dt-52m-chi-7-7-ty-17398483.html
"Bán phân lô Trần Quốc Hoàn - Ô tô tránh, 2 thoáng, Nhỉnh 21 Tỷ, 60m, mặt tiền 5m",Giá:21 tỷ,Diện tích:60m²,"Phố Trần Quốc Hoàn,Phường Nghĩa Đô,Hà Nội","Bán phân lô Trần Quốc Hoàn - Ô tô tránh, 2 thoáng, Nhỉnh 21 Tỷ, 60m, mặt tiền 5m
-  Khu phân lô ô tô chạy vòng quanh, dân trí cao, ở cực sướng. Chỉ vài bước ra mặt phố Trần Quốc Hoàn. 
- Xung quanh tập trung nhiều cơ q......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-phan-lo-tran-quoc-hoan-o-to-tranh-2-thoang-nhinh-21-ty-60m-mat-tien-5m-17191814.html
"Bán nhà ngõ 158 Ngọc Hà, lô góc, nhỉnh 8 tỷ, 36m, 4 ngủ, gần hồ, cách ô tô 30m","Giá:8,4 tỷ",Diện tích:36m²,"Đường Ngọc Hà,Phường Ngọc Hà,Hà Nội","Bán nhà ngõ 158 Ngọc Hà, lô góc, nhỉnh 8 tỷ, 36m, 4 ngủ, gần hồ, cách ô tô 30m
- Nhà ở ngõ 158 ngọc hà, ngay gần hồ, cách ô tô tránh 30m, ngõ nông thoáng
- Diện tích 36m, lô góc, 4 tầng chắc chắn đủ công năng
- Tổng 4......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-ngo-158-ngoc-ha-lo-goc-nhinh-8-ty-36m-4-ngu-gan-ho-cach-o-to-30m-17192953.html
"Bán nhà Ngọc Hà, Ba đình, 14 Tỷ, DT 55m, 8 tầng thang máy",Giá:14 tỷ,Diện tích:55m²,"Đường Ngọc Hà,Phường Ngọc Hà,Hà Nội","Bán nhà Ngọc Hà, trung tâm ba đình
- Ngõ nông, thoáng, gần phố
- DT 55m | 8 tầng | thang máy | mặt tiền 5m
+ Tầng 1: Để xe, wc, Phòng khách.
+Tầng 2, 3, 4, 5, 6, 7: Mỗi tầng phòng rộng, đầy đủ nội thất, wc khép kín.......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-ngoc-ha-ba-dinh-14-ty-dt-55m-8-tang-thang-may-17312907.html
Bán phân lô Liền kề Lạc Long Quân - Xuân La - Hơn 26 Tỷ - 70m - mặt tiền 6.3m - Ô tô tránh,"Giá:26,5 tỷ",Diện tích:70m²,"Đường Lạc Long Quân,Phường Tây Hồ,Hà Nội","- Khu phân lô liền kề Lạc Long Quân - Xuân la - trung tâm Tây Hồ, vài bước ra hồ Tây. đường trước nhà ô tô tránh, dừng đỗ
- Nội thất trong nhà đẳng cấp 5*, hệ thống điện thông minh, bóng spotlight, thiết kế hiện đại tặn......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-phan-lo-lien-ke-lac-long-quan-xuan-la-hon-26-ty-70m-mat-tien-6-3m-o-to-tranh-17383838.html
Bán nhà Văn Cao - Đốc Ngữ - Hơn 17 Tỷ - 50m - 7 tầng xây mới - Ô tô tránh - Vừa ở vừa kinh,"Giá:17,5 tỷ",Diện tích:50m²,"Phố Văn Cao,Phường Ngọc Hà,Hà Nội","Bán nhà Văn Cao - Đốc Ngữ - Hơn 17 Tỷ - 50m - 7 tầng xây mới - Ô tô tránh - Vừa ở vừa kinh doanh
- Hiện trạng nhà mới, thiết kế hiện đại, 7 tầng thang máy thông sàn, vừa ở kết hợp cho thuê, kinh doanh.
+ Toạ lạc vị trí......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-van-cao-doc-ngu-hon-17-ty-50m-7-tang-xay-moi-o-to-tranh-vua-o-vua-kinh-17428644.html
Lô góc ngõ 603 Lạc Long Quân - 22 tỷ 5 - DT 75m2 - Ô tô tránh,"Giá:22,5 tỷ",Diện tích:75m²,"Đường Lạc Long Quân,Phường Tây Hồ,Hà Nội","Lô góc ngõ 603 Lạc Long Quân - 22 tỷ 5 - DT 75m2 - Ô tô tránh
- vị trí: ngõ 603 Lạc Long quân, ngõ thông, ô tô tránh, dừng đỗ. Xung quanh các toàn văn phòng, căn hộ dịch vụ xây 7-8 tầng
- Lô góc diện tích đất 75m2, 2 t......<< Xem chi tiết >>",https://alonhadat.com.vn/lo-goc-ngo-603-lac-long-quan-21-ty-5-dt-75m2-o-to-tranh-16888716.html
"Bán lô góc Kim Mã, ngõ nông thoáng sáng, 35m, 5 tầng, 7 Tỷ 6","Giá:7,6 tỷ",Diện tích:35m²,"Đường Kim Mã,Phường Ngọc Hà,Hà Nội","Bán lô góc Kim Mã, ngõ nông thoáng sáng, 35m, 5 tầng, 7 Tỷ 6
- Ngõ trước nhà xe ba gác thoáng sáng, lô góc 3 mặt thoáng, rất gần phố Kim Mã.
- Diện tích 35m, mặt tiền 4m
- Tầng 1: PK + Bếp + WC
- Tầng 2,3,4: Mỗi tầng......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-lo-goc-kim-ma-ngo-nong-thoang-sang-35m-5-tang-7-ty-6-17154699.html
"Bán nhà Văn Cao, Ô tô, Nhỉnh 16 tỷ, 45m, 5 tầng, thoáng trước sau","Giá:16,3 tỷ",Diện tích:45m²,"Phố Văn Cao,Phường Ngọc Hà,Hà Nội","Bán nhà Văn Cao, Ô tô, Nhỉnh 16 tỷ, 45m, 5 tầng, thoáng trước sau
- Ngay đầu Văn cao thụy khuê, Ngõ thoáng, ô tô
- DT 45m/ 5 tầng, Nhà thoáng trước sau
+ Tầng 1: gara ô tô, để xe
+ Tầng 2: phòng khách, bếp
+ Tầng 3,......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-van-cao-o-to-nhinh-16-ty-45m-5-tang-thoang-truoc-sau-17363444.html
"Lô góc ngõ 267 Hoàng Hoa Thám 9.2 tỷ, 45m, mặt tiền 6m, ngõ nông, 3 thoáng","Giá:9,2 tỷ",Diện tích:45m²,"Đường Hoàng Hoa Thám,Phường Ngọc Hà,Hà Nội","Lô góc ngõ 267 Hoàng Hoa Thám 9.2 tỷ, 45m, mặt tiền 6m, ngõ nông, 3 thoáng
- Ngõ 3 gác nông, ngay ngã ba Văn Cao - Hoàng Hoa Thám
- Lô góc DT 45m/ mặt tiền 6.3m/ 3 thoáng, phòng nào cũng tràn ngập ánh sáng
- Nhà thiết......<< Xem chi tiết >>",https://alonhadat.com.vn/lo-goc-ngo-267-hoang-hoa-tham-9-2-ty-45m-mat-tien-6m-ngo-nong-3-thoang-17233573.html
"Bán nhà Ngõ 343 Đội Cấn, cách ô tô tránh 50m, Nhỉnh 7 tỷ, DT 35m, mặt tiền 6m","Giá:7,5 tỷ",Diện tích:35m²,"Phố Đội cấn,Phường Ngọc Hà,Hà Nội","Bán nhà Ngõ 343 Đội Cấn, cách ô tô tránh 50m, Nhỉnh 7 tỷ, DT 35m, mặt tiền 6m
- Ngõ 343 Đội cấn trung tâm Ba đình, khu vực hiếm nhà bán. ngõ nông cách ô tô tránh 50m
- Nhà diện tích 35m, mặt tiền 6m, thoáng trước sau, ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-ngo-343-doi-can-cach-o-to-tranh-50m-nhinh-7-ty-dt-35m-mat-tien-6m-17233735.html
Bán nhà mặt phố Vạn Bảo - 28 Tỷ - 71m - 2 thoáng - Vỉa hè rộng,Giá:28 tỷ,Diện tích:71m²,"Phố Vạn Bảo,Phường Ngọc Hà,Hà Nội","Bán nhà mặt phố Vạn Bảo - 2 thoáng - vỉa hè rộng - DT 71m2 - 28 Tỷ
- Vị trí đắc địa, mặt phố Vạn Bảo, nối thông từ Kim Mã sang Đội Cấn, Liễu Giai, khu vực kinh doanh sầm uất trung tâm Ba Đình
- Diện tích sổ đỏ 71m2, hi......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-mat-pho-van-bao-28-ty-71m-2-thoang-via-he-rong-17233769.html
"Bán nhà Đội Cấn, Hơn 11 Tỷ, DT 45m, 6 tầng, Thang máy, xây mới, nội thất đầy đủ","Giá:11,5 tỷ",Diện tích:45m²,"Phố Đội cấn,Phường Ngọc Hà,Hà Nội","Bán nhà Đội Cấn, Hơn 11 Tỷ, DT 45m, 6 tầng, Thang máy, xây mới, nội thất đầy đủ
- Vị trí: ngõ 209 Đội cấn thông 279 đội cấn, trung tâm Ba đình
- Nhà xây mới, thang máy nhập khẩu, nội thất đầy đủ
- Diện tích 45m, mặt t......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-doi-can-hon-11-ty-dt-45m-6-tang-thang-may-xay-moi-noi-that-day-du-17338433.html
"Bán nhà Hoàng Hoa Thám, 8.1 Tỷ, 45m, 4 ngủ, gần sân chơi, nội thất  đẹp ở luôn","Giá:8,1 tỷ",Diện tích:45m²,"Đường Hoàng Hoa Thám,Phường Ngọc Hà,Hà Nội","Bán nhà Hoàng Hoa Thám, 8.1 Tỷ, 45m, 4 ngủ, gần sân chơi, nội thất  đẹp ở luôn
+ Nhà mới ở luôn chủ để lại hết nội thất gồm ti vi, tủ lạnh, máy giặt, điều hòa...
+ Diện tích 45m, mặt tiền 4.1m, vuông vắn nở hậu
- Tầng......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-hoang-hoa-tham-8-1-ty-45m-4-ngu-gan-san-choi-noi-that-dep-o-luon-17338339.html
"Bán căn góc Vĩnh Phúc - Hoàng Hoa thám - 8 Tỷ 5,  DT 59m, mặt tiền 7.2m, ngõ nông gần phố","Giá:8,5 tỷ",Diện tích:59m²,"Đường Vĩnh Phúc,Phường Ngọc Hà,Hà Nội","Bán căn góc Vĩnh Phúc - Hoàng Hoa thám - 8 Tỷ 5,  DT 59m, mặt tiền 7.2m, ngõ nông gần phố
- Vị trí: Vĩnh phúc - Hoàng Hoa thám - bưởi, gần chợ Vĩnh phúc, trường Hoàng Hoa Thám...
- Diện tích đất 59m, xây dựng 40m, mặt ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-can-goc-vinh-phuc-hoang-hoa-tham-8-ty-5-dt-59m-mat-tien-7-2m-ngo-nong-gan-pho-17354758.html
"Bán nhà siêu đẹp Kim mã, gần phố, 8 Tỷ 9, DT 45m, mặt tiền 6m, 5 tầng","Giá:8,9 tỷ",Diện tích:45m²,"Đường Kim Mã,Phường Ngọc Hà,Hà Nội","Bán nhà siêu đẹp Kim mã, gần phố, 8 Tỷ 9, DT 45m, mặt tiền 6m, 5 tầng
- Nhà xây 5 tầng khung cột chắc chắn
- Diện tích 42/45m T2, mặt tiền 6m
+ Tầng 1: Phòng khách, bếp, wc. 
+ Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ rộng......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-sieu-dep-kim-ma-gan-pho-8-ty-9-dt-45m-mat-tien-6m-5-tang-17378043.html
"Bán Nhà Mặt Phố Phú Mỹ, Mỹ Đình 100m, Kinh doanh các Mặt Hàng",Giá:27 tỷ,Diện tích:100m²,"Đường Phú Mỹ,Phường Từ Liêm,Hà Nội","Bán Nhà Phố Phú Mỹ. Mỹ Đình 
Mặt Phố Kinh Doanh Sầm Uất 
Hiện đang cho thuê
Nhà hai tầng xác định bán đất
Anh chị mua về đập đi xây toà nhà, tầng 1 kinh doanh , tầng trên xây các phòng cho thuê dòng tiền đều hàng thá......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-mat-pho-phu-my-my-dinh-100m-kinh-doanh-cac-mat-hang-17431874.html
"BÁN TÒA CCMN VĂN QUÁN 7T 90M2 26PKK NGÕ NÔNG RỘNG, GIÁ CHỈ 15 TỶ",Giá:15 tỷ,Diện tích:90m²,"Đường Nguyễn Khuyến,Phường Hà Đông,Hà Nội","Cần bán tòa CHDV tại Văn Quán diện tích 90m2 mặt tiền 6m vuông vức rất đẹp
Nhà xây 7 tầng thang máy thiết kế 26 PKK có đầy đủ GPXD và PCCC
Vị trí ngõ nông, vài bước chân ra mặt phố Nguyễn Khuyến, giao thông thuận tiện ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-toa-ccmn-van-quan-7t-90m2-22pkk-ngo-nong-rong-gia-chi-11-5-ty-14485137.html
HIẾM CÓ -TÒA CHDV VĂN QUÁN 90M2 MT 6M 7 TẦNG THANG MÁY 25PKK GIÁ 16.8 TỶ,"Giá:16,8 tỷ",Diện tích:90m²,"Đường Nguyễn Khuyến,Phường Hà Đông,Hà Nội","Cần tiền bán gấp tòa CHDV tại Văn Quán, diện tích 90m2 mặt tiền 6m vuông vức đẹp.
Vị trí: Nguyễn Khuyến – Văn Quán – Hà Đông
Số tầng 7, số phòng 25 full nội thất.
Doanh thu 120tr/tháng
Đầy đủ GPXD và hệ thống PCCC.
......<< Xem chi tiết >>",https://alonhadat.com.vn/hiem-co-toa-chdv-van-quan-90m2-mt-6m-7-tang-thang-may-25pkk-gia-16-8-ty-16523690.html
CHDV THANH  XUÂN CỰC ĐẸP 100M2 7T 24PKK DÒNG TIỀN KHỦNG GIÁ HƠN 20 TỶ,Giá:20 tỷ,Diện tích:100m²,"Đường Trường Chinh,Phường Phương Liệt,Hà Nội","Cần bán tòa CHDV Trường Chinh – Thanh Xuân, diện tích 100m2 mặt tiền 6m vuông vức.
Nhà 2 mặt thoáng trước sau, cách mặt phố chỉ 50m, vị trí ngay gần ngã tư Trường Chinh – Giải Phóng. Khu vực có nhu cầu thuê cao bậc nhất......<< Xem chi tiết >>",https://alonhadat.com.vn/chdv-thanh-xuan-cuc-dep-100m2-7t-24pkk-dong-tien-khung-gia-hon-20-ty-16781678.html
CCMN YÊN XÁ 110M2 MẶT TIỀN 10M 8 TẦNG 35PKK DOANH THU KHỦNG GIÁ HƠN 21.4 TỶ,"Giá:21,4 tỷ",Diện tích:110m²,"Đường Yên Xá,Phường Thanh Liệt,Hà Nội","Cần bán gấp tòa CCMN Yên Xá diện tích 110m2 mặt tiền 10m vuông vức cực đẹp
Ngõ nông, vài bước chân ra mặt phố, giao thông thuận tiện, vị trí sát KĐT Văn Quán nên nhu cầu thuê trọ cực cao.
Thiết kế 8 tầng thang máy, 35 ......<< Xem chi tiết >>",https://alonhadat.com.vn/ccmn-yen-xa-110m2-mat-tien-10m-8-tang-35pkk-doanh-thu-khung-gia-hon-19-ty-16852025.html
TÒA CHDV CỰC ĐẸP KIM GIANG 75M2 7 TẦNG 23PKK DÒNG TIỀN KHỦNG GIÁ 16 TỶ,Giá:16 tỷ,Diện tích:75m²,"Đường Kim Giang,Phường Khương Đình,Hà Nội","Cần bán gấp tòa CCMN tại Kim Giang.
Diện tích 75m2
Số tầng 7
Số phòng 23
Cách ô tô 50m2, giao thông thuận tiện.
Hiện đang vận hành kín khách, doanh thu 90tr/tháng
Sổ đỏ chính chủ.
Giá bán 16 tỷ
Liên hệ em Điệp - ......<< Xem chi tiết >>",https://alonhadat.com.vn/toa-chdv-cuc-dep-kim-giang-75m2-7-tang-23pkk-dong-tien-khung-gia-16-ty-16977411.html
BÁN TÒA CCMN NGUYỄN XIỂN 75M2 7 TẦNG 23PKK DÒNG TIỀN 1.2 TỶ/NĂM GIÁ 16 TỶ,Giá:16 tỷ,Diện tích:75m²,"Đường Nguyễn Xiển,Phường Khương Đình,Hà Nội","Cần bán tòa CHDV tại Nguyễn Xiển, ngõ nông rộng, ngay sát The Manor và ĐH Thăng Long.
Diện tích 75 m2
Số tầng 7
Số phòng 23
PCCC đầy đủ cảm biến và đầu phun tự động từng phòng.
Hiện đã vận hành full phòng, dòng tiền......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-toa-ccmn-nguyen-xien-75m2-7-tang-23pkk-dong-tien-1-2-ty-nam-gia-16-ty-17384978.html
BÁN TÒA CCMN NGÃ TƯ VỌNG Ô TÔ TRÁNH LÔ GÓC 100M2 8T 30PKK GIÁ CHỈ 35 TỶ,Giá:35 tỷ,Diện tích:100m²,"Đường Giải Phóng,Phường Bạch Mai,Hà Nội","Cần bán gấp tòa CHDV cực đẹp tại Ngã Tư Vọng, vị trí ngay BÁCH – KINH – XÂY, khu vực có nhu cầu thuê trọ cực cao, dòng tiền ổn định.
Đường trước nhà ô tô tránh, dừng đỗ ngày đêm, cách mặt phố chỉ 30m.
Diện tích 100m2 l......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-toa-ccmn-nga-tu-vong-o-to-tranh-lo-goc-100m2-8t-30pkk-gia-chi-35-ty-17385186.html
"Bán Nhà Mỹ Đình 33M- 3 tầng -giá chỉ 6,6 tỷ hiếm lắm","Giá:6,6 tỷ",Diện tích:33m²,"Đường Phú Mỹ,Phường Từ Liêm,Hà Nội","Bán Nhà Mỹ Đình 
Diện tích 33 M-3 tầng- mặt tiền  3.5 M
+ Nhà lô góc, dân xây tâm huyết, hàng xóm thân thiện dễ mến và yêu khách.
+ Nhà mình bán vị trí đẹp, ngõ rộng thoáng, 

👉Thiết kế chi tiết: 
• Tầng 1: Phòng ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-my-dinh-33m-3-tang-gia-chi-6-6-ty-hiem-lam-17429786.html
Bán nhà Kim Giang 62m2 nhà dòng tiền đang cho thuê oto qua nhà 10.5 tỷ,"Giá:10,5 tỷ",Diện tích:62m²,"Đường Kim Giang,Phường Khương Đình,Hà Nội","👉CHÍNH CHỦ GIẢM GIÁ 1.2 TỶ - BÀ CON QUAN TÂM KHU KIM GIANG - THANH XUÂN MANG TIỀN ĐẾN CỌC LUÔN -TẦM TIỀN QANH 10 TỶ. TIỀN ĐANG CHO THUÊ HÀNG THÁNG GIÁ RẺ  12TRIỆU / THÁNG. 

👉 CHÍNH CHỦ BÁN NHÀ KIM GIANG - THANH XUÂN......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-kim-giang-62m2-nha-dong-tien-dang-cho-thue-oto-qua-nha-10-5-ty-17382007.html
